,words,count
0,и,1512
1,да,1237
2,на,1049
3,се,1035
4,во,765
5,што,595
6,со,580
7,од,521
8,не,513
9,како,502
10,е,459
11,за,437
12,го,413
13,ти,283
14,а,278
15,ќе,277
16,ја,276
17,по,251
18,ми,248
19,си,234
20,јас,227
21,в,216
22,сама,200
23,ме,199
24,таа,187
25,дека,183
26,ги,181
27,тоа,179
28,тој,164
29,но,157
30,сè,154
31,до,154
32,сега,150
33,сум,143
34,те,141
35,кога,135
36,тие,134
37,нема,132
38,може,122
39,уште,120
40,живот,118
41,пак,108
42,мене,108
43,дури,108
44,пред,106
45,му,105
46,ни,104
47,веќе,100
48,збор,98
49,така,97
50,мој,97
51,пес,88
52,душа,88
53,сме,84
54,над,83
55,една,81
56,наш,81
57,сака,79
58,сам,79
59,под,77
60,срце,73
61,свет,73
62,тебе,73
63,ден,72
64,гледа,72
65,колку,71
66,без,69
67,небо,68
68,о,68
69,кај,67
70,беше,65
71,пат,64
72,толку,64
73,нив,64
74,тогаш,62
75,би,62
76,знае,60
77,еден,59
78,сонце,58
79,спомен,57
80,нешто,57
81,треба,57
82,нас,56
83,човек,56
84,мисла,55
85,нè,55
86,земја,55
87,зошто,55
88,низ,54
89,мојот,54
90,кој,54
91,има,54
92,друг,53
93,крај,53
94,чека,53
95,него,52
96,им,52
97,рак,51
98,мак,50
99,сети,50
100,било,49
101,сите,48
102,сон,48
103,свој,48
104,неа,47
105,оди,46
106,стар,46
107,себе,46
108,очи,45
109,цел,45
110,ние,45
111,сепак,45
112,време,44
113,час,44
114,знам,44
115,биде,44
116,мисли,43
117,носи,42
118,овој,42
119,глас,42
120,па,42
121,гради,41
122,поглед,41
123,ништо,41
124,љубов,40
125,смрт,40
126,езеро,40
127,некој,39
128,таму,39
129,еве,39
130,твојот,39
131,тука,38
132,види,38
133,дете,38
134,иде,38
135,многу,38
136,темен,37
137,слуша,37
138,каде,37
139,година,36
140,секој,36
141,меѓу,36
142,ова,36
143,никој,35
144,мрак,35
145,твој,35
146,сето,34
147,снага,34
148,вие,34
149,ноќ,34
150,зашто,34
151,век,34
152,дали,34
153,оваа,34
154,еднаш,33
155,младост,33
156,негов,33
157,жив,33
158,ист,33
159,бара,32
160,гроб,32
161,прв,32
162,раце,32
163,сен,32
164,сета,32
165,ако,32
166,кон,32
167,тага,31
168,место,31
169,зар,31
170,едно,31
171,затоа,31
172,малку,31
173,вод,30
174,жена,30
175,студен,30
176,сосем,30
177,нека,29
178,млад,29
179,лик,29
180,можеби,29
181,или,29
182,нов,28
183,мај,28
184,камен,28
185,птица,28
186,ами,28
187,чини,27
188,мине,27
189,болка,27
190,штом,27
191,своите,27
192,прави,26
193,поле,26
